question,answer,image_filename,image_description
日本の国土に占める山地の割合は？,約4分の3,,
日本の国土の中央に連なる、背骨のような山地や山脈を何と呼びますか？,日本の屋根,,
3000メートルを超える山はどこにありますか？,中部地方,,
3000メートルを超える山は何と呼ばれていますか？,日本の屋根,,
日本の3つの主な山脈（飛騨山脈、木曽山脈、赤石山脈）をまとめて何と呼びますか？,日本アルプス,,
Aは何という山脈ですか？,飛騨山脈,スクリーンショット 2025-08-02 153958.png,
Bは何という山脈ですか？,木曽山脈,スクリーンショット 2025-08-02 153958.png,
Cは何という山脈ですか？,赤石山脈,スクリーンショット 2025-08-02 153958.png,
北アルプスと呼ばれるのは、何という山脈ですか？,飛騨山脈,,
中央アルプスと呼ばれるのは、何という山脈ですか？,木曽山脈,,
南アルプスと呼ばれるのは、何という山脈ですか？,赤石山脈,,
日本が世界でも火山が多い国であるのは、何を取り囲む大山脈の一部だからですか？,太平洋,,
火山の噴火によってできた火山灰が積もった土地の例は？,北海道の十勝平野、群馬県の嬬恋村、武蔵野台地,,
現在も活発に活動している鹿児島県の火山は？,桜島,,
多いときには年に千回以上も噴火することがある火山は？,桜島,,
鹿児島市で火山灰を回収するために住民に配られている専用の袋の名前は？,克灰袋,,
日本で最も高い山は？,富士山,,
富士山の標高は？,3776メートル,,
富士山は何県と何県の境にありますか？,山梨県と静岡県,,
群馬県と長野県の境にある火山です。ふもとの嬬恋村では高原野菜の栽培がさかんです。,浅間山,,
鹿児島県にある火山です。現在も活発に活動しています。,桜島,,
長崎県にある火山です。高温のガスが火山灰とともに流れ出ました。,雲仙普賢岳,,